trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-7.687527959404796,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9024999999999999}",20,0,-59.57349445890133,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-110.36867025631196,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-24.93695988149416,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-99.31068283566408,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-67.32409632217968,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-165.47582699802314,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,0,-23.355367240686874,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-4.498032496347607,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",30,0,-92.844828027978,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,17,4.536224240800773,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,9,17.835266348337893,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,17,10.528187289029752,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",35,21,27.43639505265598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",25,7,-11.683345732350736,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,2,-77.09528682645184,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,12,2.0767608960294117,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,0,-18.328365531785177,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,16,5.141653807980438,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",25,20,11.07837552872416,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811476}",20,0,-72.22544822621985,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",25,12,10.885566631254713,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",25,0,-64.94147037140945,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",25,0,-58.09449137889826,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",20,11,-48.368376080842864,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,0,-20.14073735022206,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",25,15,-22.318184801426398,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",20,14,-0.36461363286608695,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",25,5,27.37285051254962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,0,-9.737699639869666,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",30,21,-5.4016885162822845,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",25,14,20.50204721894762,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.1840259102355758}",25,5,19.65138238907764,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.174824614723797}",20,9,-0.6253921044297588,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,6,3.2757174082061535,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",30,1,-8.015820304580078,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",30,0,28.222310885747277,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",20,1,18.21194730689589,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",20,5,0.09639227890474578,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",20,0,26.77264408261395,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",20,13,3.882055711487938,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",20,13,13.756702441462028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",25,15,6.834062527881566,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,8,23.9947336947165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",20,11,17.449389277052596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,2,15.70201417161865,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,11,-28.51731383731338,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,12,3.8601526929069596,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
