trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.59283976933185,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.22369894707037,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.29558579229513,"{0: 15, 1: 5, 2: 5, 3: 5, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.6388667981805,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.16986741240765,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.08356821073471,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.01964181869195,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.81912318763767,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.1067526869804,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.0037444660134,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.18043071791115,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.1433046639694,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.09179772629017,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.17965464255407,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.88178139605061,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.46580182455122,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.61313129194113,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,-41.929203024715285,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.50628373587813,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.95251010361973,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.24523720198049,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.05427415201692,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-215.65339936573722,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.60019992024411,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.93432086639683,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-12.370854654510726,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.10017473229608,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.29525322494752,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-238.88087909282766,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.65166918950665,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
